|GCZP2A     | Chromite - FeOCr2O3 - DP/EC5 | BRAGANCA   | danieloliveira | 41.80 | -6.88 | EARTHCACHE | NOT_CHOSEN | 1.00 | 1.50 | AVAILABLE  | 2006/12/05 | 62 | 2 | 2 | 838
|GCMAM8     | A Lagoa [Obidos] | LEIRIA     | paulohercules | 39.39 | -9.23 | TRADITIONAL | REGULAR    | 2.00 | 2.00 | AVAILABLE  | 2004/12/22 | 703 | 9 | 3 | 19
|GCXW7V     | Serra de Alvaiazere | LEIRIA     | Paulo Martins | 39.83 | -8.41 | TRADITIONAL | REGULAR    | 1.50 | 2.50 | AVAILABLE  | 2006/08/21 | 244 | 3 | 3 | 605
|GC14XQQ    | ALDEIA DA PENA I | VISEU      | eterlusitano | 40.88 | -8.08 | TRADITIONAL | SMALL      | 3.50 | 4.50 | AVAILABLE  | 2007/08/05 | 133 | 2 | 37 | -9999999
|GC15999    | CABECEIRAS A VISTA | BRAGA      | eterlusitano | 41.49 | -8.02 | TRADITIONAL | REGULAR    | 2.50 | 2.00 | AVAILABLE  | 2007/08/20 | 60 | 2 | 2 | 750
|GC16ZE4    | Cais do Ginjal [Cacilhas] | SETUBAL    | tmob       | 38.69 | -9.15 | MULTI      | REGULAR    | 2.00 | 2.00 | AVAILABLE  | 2007/10/26 | 487 | 24 | 18 | 11
|GC166CQ    | Talasnal        | COIMBRA    | almeidara  | 40.09 | -8.23 | TRADITIONAL | REGULAR    | 2.00 | 2.00 | AVAILABLE  | 2007/09/23 | 428 | 8 | 35 | 472
|GCN3NX     | CEM CACHES [Sintra] | LISBOA     | Portelada  | 38.77 | -9.45 | TRADITIONAL | REGULAR    | 1.50 | 3.00 | AVAILABLE  | 2005/03/14 | 516 | 12 | 65 | 459
|GCMG50     | Serra da Estrela - Aldeia Vicosa | GUARDA     | meiolimao  | 40.58 | -7.33 | TRADITIONAL | SMALL      | 3.00 | 3.00 | AVAILABLE  | 2004/12/30 | 111 | 9 | 1 | 717
|GC15MQC    | Make the Audience Suffer! | FARO       | Team Caracache | 37.10 | -8.67 | PUZZLE     | MICRO      | 3.00 | 2.50 | AVAILABLE  | 2007/09/03 | 148 | 15 | 17 | 13
|GCX4WA     | The Battle [Sao Pedro das Cabecas] | BEJA       | CrisLuiz   | 37.68 | -8.04 | TRADITIONAL | REGULAR    | 1.50 | 1.50 | AVAILABLE  | 2006/07/14 | 276 | 2 | 8 | 234
|GCZM6R     | Caldas de Monchique | FARO       | ShadowLord | 37.28 | -8.55 | MULTI      | REGULAR    | 2.00 | 3.00 | AVAILABLE  | 2006/12/01 | 315 | 50 | 38 | 207
|GCGQQ3     | STAR MOUNTAIN   | CASTELO BRANCO | jppina     | 40.31 | -7.57 | MULTI      | MICRO      | 3.00 | 2.00 | AVAILABLE  | 2003/08/24 | 117 | 27 | 11 | 1603
|GC1030Y    | Abutres!        | CASTELO BRANCO | MAntunes   | 39.66 | -7.18 | MULTI      | REGULAR    | 2.00 | 2.50 | AVAILABLE  | 2006/12/29 | 31 | 1 | 11 | 161
|GC15JX8    | The Lagos 6+1: #3 - Bensafrim | FARO       | Team Caracache | 37.16 | -8.73 | MULTI      | SMALL      | 1.50 | 3.50 | AVAILABLE  | 2007/09/01 | 136 | 13 | 10 | 24
|GC15APY    | A cache no centro [Charneca Caparica] | SETUBAL    | almeidara  | 38.59 | -9.20 | PUZZLE     | MICRO      | 2.50 | 1.50 | AVAILABLE  | 2007/08/21 | 175 | 8 | 2 | 63
|GCP877     | Marconi [Oeiras] | LISBOA     | nunogil    | 38.72 | -9.24 | TRADITIONAL | SMALL      | 1.50 | 1.50 | AVAILABLE  | 2005/06/09 | 462 | 31 | 2 | -9999999
